Plant-Generic,2021-01-01_actual,2021-01-01_model,2021-02-01_actual,2021-02-01_model,2021-03-01_actual,2021-03-01_model,2021-04-01_actual,2021-04-01_model,2021-05-01_actual,2021-05-01_model,2021-06-01_actual,2021-06-01_model,2021-07-01_actual,2021-07-01_model,2021-08-01_actual,2021-08-01_model,2021-09-01_actual,2021-09-01_model,2021-10-01_actual,2021-10-01_model,2021-11-01_actual,2021-11-01_model,2021-12-01_actual,2021-12-01_model,2022-01-01_actual,2022-01-01_model,2022-02-01_actual,2022-02-01_model,2022-03-01_actual,2022-03-01_model,2022-04-01_actual,2022-04-01_model,2022-05-01_actual,2022-05-01_model,2022-06-01_actual,2022-06-01_model,2022-07-01_actual,2022-07-01_model,2022-08-01_actual,2022-08-01_model,2022-09-01_actual,2022-09-01_model
3803-1506,4027.0,5682.01210667516,0.0,1581.753092255225,14437.0,11107.134884153144,16928.0,13721.629092781906,6593.0,7377.198050258128,9224.0,11271.832113192795,10990.0,12593.611378010246,10073.0,7963.487468762818,10293.0,11345.573917657719,10242.0,10229.507570570335,10397.0,10415.47944465962,5145.0,5145.361598496049,6672.0,5032.1172514143545,5237.0,3625.0489010828605,5570.0,8873.70009597628,5154.0,8397.22053698833,6494.0,5731.64842592385,8637.0,6609.367723395393,10087.0,8455.86325621746,4137.0,6254.167433557421,12504.0,11482.60596144959
3803-15467,2949.0,2591.6752973678886,3144.0,2879.9618412331693,999.0,1603.9639439729508,2601.0,3157.7116860774768,0.0,139.9450901198361,2601.0,1786.0676309758564,1325.0,1161.1108420354867,2601.0,2647.9480031639832,2601.0,2859.6279413954762,1216.0,1209.7673335997097,1950.0,1952.9842633329317,0.0,-4.724220968222653,1950.0,2305.691085054699,434.0,700.6726853462897,2949.0,2349.0500347847847,2384.0,1822.8232662826485,0.0,-146.81466787178942,0.0,810.0897762766253,2276.0,2447.6918249968003,3166.0,3115.130950059858,5418.0,5161.966539385656
3803-16122,8229.0,8297.842758799228,3185.0,3343.5097166140986,9498.0,9280.088064645532,7740.0,7069.704510176661,5768.0,6077.472018019873,6218.0,6709.654169039092,10017.0,10594.196169926541,9109.0,8695.294410472572,8689.0,8378.968376612802,8417.0,8412.257868227236,4722.0,4727.673507024934,8160.0,8155.539212255535,3296.0,3232.8766558417265,6819.0,6656.114538229267,9080.0,9296.183464081725,4116.0,4785.218432971546,4154.0,3855.283705727379,7920.0,7424.779197853335,4992.0,4415.397534323536,4195.0,4597.2985948762,3544.0,3863.645530275884
3803-16589,0.0,-50.09352454454711,4300.0,3480.2451112043645,2800.0,3570.82248063929,3946.0,4606.84458619649,0.0,193.35759197631705,4019.0,2432.9278905178144,4881.0,4289.25800139254,0.0,646.950773183893,0.0,843.3398807949743,5125.0,5098.12673397507,0.0,21.631920553303644,4854.0,4832.337742197524,0.0,68.61763232962403,0.0,795.2172273693868,5135.0,4399.82759453178,0.0,-688.7542575901534,5017.0,4835.835158260161,0.0,1553.521836090098,0.0,631.9395105708463,5134.0,4466.903017599012,4372.0,3548.071704234477
3803-16896,1585.0,1070.6960635159194,2043.0,1721.2169561396877,676.0,1524.9539719136956,1585.0,2970.9129648000817,2044.0,2088.0764785411593,14960.0,13567.08328780612,1585.0,758.2487133677787,1585.0,1732.8499506074004,2606.0,3231.8383016899024,0.0,-6.026466517330846,2606.0,2608.259198699001,563.0,559.3872626815864,4087.0,4598.253568020489,1022.0,1348.237186323182,2606.0,1766.3996116083144,1585.0,195.25312269829737,1022.0,959.8266990957345,4650.0,6042.654478492026,563.0,1397.4802107381256,0.0,-143.64478339524067,2606.0,1979.4445121038007
3803-18111,7395.0,7138.918462293499,2007.0,1152.5302955551015,3095.0,4192.357277621544,1003.0,1622.7174479713794,0.0,-816.4674685760183,4013.0,4047.4361793277203,3259.0,2828.122159806604,0.0,1654.0566894284711,4180.0,3104.83349049589,0.0,10.736573835776653,2007.0,1996.8950979195506,3450.0,3449.5275677351747,6111.0,6362.192894655076,0.0,848.6813187966327,8814.0,7734.3701507074,0.0,-650.8570904978696,2702.0,3522.9213303208526,7355.0,7308.766734532444,0.0,445.8232033425302,8564.0,6901.04805555084,2464.0,3522.7754336048965
3803-19070,5598.0,5759.15369577099,1091.0,1256.6900950100098,10668.0,10323.868081782908,7039.0,6202.36836324702,0.0,267.15265021891537,9144.0,9624.70364739676,536.0,1208.9851184924992,5351.0,4974.712370312893,0.0,-179.41207364842558,8691.0,8685.776429785581,15514.0,15518.644961502985,0.0,-3.0888887137248275,4286.0,4129.597636032016,5474.0,5303.304574429578,6146.0,6487.107053820986,5456.0,6292.942651365316,1819.0,1562.0714008835312,5963.0,5481.257432075057,8722.0,8048.696186349727,11448.0,11814.1246634263,4501.0,4690.207703809836
3803-1910,1873.0,1336.3931542518021,3810.0,4057.776485141771,2506.0,2838.397865576123,1388.0,2165.1426003575407,0.0,624.6878715895546,2809.0,1820.1286853961378,4098.0,3836.3906628251298,3722.0,2799.933433795179,0.0,707.176522720621,1876.0,1850.2761523806876,0.0,22.288120251027067,4144.0,4123.682444559304,0.0,552.8704252949756,4051.0,3795.4855156161884,1253.0,934.4769880939275,4490.0,3707.748223665154,0.0,-625.5036481959105,0.0,977.641991900342,4521.0,4795.589879913057,0.0,913.6119084348938,504.0,-176.905149850616
3803-19126,14029.0,13971.793153857856,0.0,-29.775118361707428,8701.0,8789.484010850385,9464.0,9688.114959167768,4772.0,4728.464366547225,9320.0,9148.254716093652,7706.0,7542.722088629802,7915.0,7972.43090158276,4699.0,4793.156477093449,6063.0,6063.787193331038,5708.0,5707.407927488195,8266.0,8264.371195635256,0.0,59.593407458982256,8413.0,8441.507446202268,4607.0,4518.277169752453,7060.0,6838.009159356428,10193.0,10232.334095094771,4378.0,4547.2305823599445,4726.0,4893.354116670624,6743.0,6685.043079201238,9273.0,9176.299699457799
3803-2012,2894.0,1922.4236131818761,5789.0,4932.419999095524,2895.0,4719.718597906845,3860.0,5160.6625307882205,0.0,874.1201243738033,11577.0,9422.79487000806,10613.0,10322.067600141861,965.0,828.493593050589,2894.0,3315.5894534723047,5789.0,5762.326143806378,6754.0,6780.136769354634,4824.0,4800.026236237696,2895.0,3880.179706202136,5789.0,6644.292843707575,11578.0,9785.98387681217,965.0,-356.46856743887474,10613.0,9743.971899583863,6754.0,8883.031727208654,6754.0,7090.891950834761,7719.0,7833.9534433093795,7718.0,7330.064021821789
