Plant-Generic,2021-01-01_actual,2021-01-01_model,2021-02-01_actual,2021-02-01_model,2021-03-01_actual,2021-03-01_model,2021-04-01_actual,2021-04-01_model,2021-05-01_actual,2021-05-01_model,2021-06-01_actual,2021-06-01_model,2021-07-01_actual,2021-07-01_model,2021-08-01_actual,2021-08-01_model,2021-09-01_actual,2021-09-01_model,2021-10-01_actual,2021-10-01_model,2021-11-01_actual,2021-11-01_model,2021-12-01_actual,2021-12-01_model,2022-01-01_actual,2022-01-01_model,2022-02-01_actual,2022-02-01_model,2022-03-01_actual,2022-03-01_model,2022-04-01_actual,2022-04-01_model,2022-05-01_actual,2022-05-01_model,2022-06-01_actual,2022-06-01_model,2022-07-01_actual,2022-07-01_model,2022-08-01_actual,2022-08-01_model,2022-09-01_actual,2022-09-01_model
3803-19126,13752.0,13182.546358124586,9169.0,8904.753084496682,0.0,849.9016512780945,9276.0,10674.610284093083,13452.0,13205.67991134063,3209.0,2161.5078353999415,10243.0,9366.689024327628,8545.0,8977.419676231206,5809.0,6119.457182139304,6141.0,6129.969258544086,8101.0,8108.917155159215,6876.0,6863.680702008736,2450.0,3024.7675800236466,8252.0,8511.897980398782,4584.0,3751.224805841528,8101.0,6686.392798928646,10129.0,10371.748951083478,5488.0,6521.964750674582,4584.0,5475.917867768803,6876.0,6440.2942957292835,9031.0,8724.450556437616
3803-19547,4556.0,4366.202931954636,4556.0,3650.839021773072,1044.0,2029.2832838573959,4556.0,5582.34108968074,4556.0,3313.5335234339436,0.0,-708.6586777454359,5600.0,4654.918406877281,0.0,2185.2317055592794,0.0,-140.29923362941918,6644.0,6634.198484726396,0.0,11.493586938318913,6834.0,6814.90632013516,2278.0,2483.787508946989,1139.0,2021.0695387746528,7783.0,6843.117987071324,0.0,-1071.463239923527,4556.0,5820.9840263908845,1044.0,1724.0749846901308,0.0,987.8105372681748,9112.0,6912.638008192909,4461.0,4601.808855419207
3803-2012,3859.0,3585.6200990333236,4824.0,4645.114282941002,3859.0,4311.849558787326,2895.0,3770.5110609927287,7718.0,7539.77200759729,3859.0,3149.4365372298707,10613.0,9999.568614080934,3859.0,4164.65354299538,0.0,319.3030752423292,5789.0,5785.0617188085525,6753.0,6755.804172340562,7718.0,7713.249235459676,0.0,274.56963205340435,6754.0,6931.622056945031,11577.0,11133.983176969778,0.0,-882.3178831146361,10612.0,10783.874710106225,6754.0,7458.410104475603,6753.0,7374.0010286154575,7719.0,7415.85131935883,7718.0,7397.212663852726
3803-21116,10040.0,10051.639521389385,5894.0,5984.130305186758,3485.0,3379.3017332431627,15778.0,15050.838430412798,4703.0,5090.43334856251,6941.0,7290.051460382296,7722.0,8423.729769375263,8312.0,7882.92670904554,5218.0,4941.198068599333,9608.0,9598.48542774329,0.0,8.222500193951419,11418.0,11409.880419305497,3064.0,3061.187530613708,9512.0,9416.696622705407,6920.0,7027.7826989648165,7895.0,8619.437519268977,6859.0,6485.720472305926,6940.0,6585.096184747788,6761.0,6065.774485081987,10620.0,11034.272234011412,7630.0,7921.787894227251
3803-21778,14500.0,15531.669846914167,23000.0,23969.070255926028,27000.0,24964.217568939937,48065.0,41762.30002245443,4435.0,8073.459430204639,23000.0,25830.66415998319,23000.0,28393.542778961135,22000.0,17700.357605256384,18000.0,16787.873384829803,25800.0,25762.16304651322,26500.0,26529.227234484402,24000.0,23984.537004109166,20800.0,19788.340848173815,15000.0,14011.585722666905,21196.0,23184.601691696655,22999.0,29326.48573322884,14996.0,11411.089135648575,19800.0,16957.243712914078,23497.0,18087.38122821979,10000.0,14215.612775918047,17500.0,18782.523845959156
3803-22249,1625.0,3173.587408145948,13628.0,14145.56002047869,12465.0,10373.245325289201,6371.0,6923.517193845939,12130.0,9516.105517703196,2847.0,4492.751193156189,10847.0,8667.743755693635,13316.0,15514.687639466429,5911.0,6355.123938976933,14507.0,14562.20461049465,14783.0,14740.255919392599,14840.0,14887.240300540114,6232.0,4665.159402266698,12260.0,11744.4859507074,10844.0,12923.060467364456,6978.0,6448.404046912721,2037.0,4631.361491871561,11034.0,9429.49064527583,3796.0,5932.314978631912,13381.0,11254.940187799919,8819.0,8305.937956925278
3803-2238,16218.0,22775.434296009596,18176.0,22790.823142580688,50975.0,39629.60453836474,17982.0,13315.011322618462,20048.0,14323.663478314644,18510.0,27320.062676298956,15560.0,13309.097544475517,14452.0,16576.651329091168,21578.0,23651.340508140274,21838.0,21938.712316210265,19764.0,19705.445852128207,12134.0,12240.734379843576,29734.0,23201.178006138944,41391.0,36719.46013030643,15084.0,26374.771723219194,16366.0,21125.11366722564,9327.0,15080.206241778273,35228.0,26541.58144610445,13201.0,15311.792721156846,22602.0,20649.456366205006,21808.0,19632.314996162197
3803-2284,9680.0,9555.28678557399,9680.0,9466.66467246323,9720.0,10089.05321747189,12140.0,9663.287533032075,4000.0,7033.382779669155,8500.0,8399.186027330536,5960.0,8778.12885569084,12940.0,10058.662428964453,7460.0,6984.045271693547,9000.0,8976.676106043575,4500.0,4495.596886830623,6720.0,6709.832325343814,10960.0,11081.275787289247,4000.0,4214.367136308414,10420.0,10021.504759272051,4500.0,6998.720154453142,13660.0,10627.32581659477,7460.0,7551.316665961291,9000.0,6172.3921457176475,7440.0,10282.73577551917,8200.0,8713.420128235746
3803-2285,6691.0,6690.432316826133,5534.0,5534.196356223896,0.0,0.08380644442513585,8816.0,8815.425106373266,5534.0,5534.357330772997,4376.0,4376.094447974116,1158.0,1157.3987960235681,4376.0,4376.305983644968,3346.0,3346.166898598982,1158.0,1157.4318328603404,4376.0,4376.291052777175,4440.0,4440.192515596515,2188.0,2187.4589944765175,5534.0,5534.238593844086,4376.0,4376.090844659004,7722.0,7721.44558723885,4376.0,4376.3961425927555,7722.0,7722.0985770479165,0.0,-0.5844178961997386,0.0,0.34341925250191707,5534.0,5534.167808380982
3803-2294,0.0,93.31676489853999,6091.0,6057.885632142279,2611.0,2546.018145101145,7570.0,6693.283182651707,0.0,335.403008111869,3264.0,3822.900748246524,5611.0,6404.719834956399,5223.0,4959.604196999164,10641.0,10091.43251798692,1362.0,1362.5850488429423,2724.0,2723.336677358835,5411.0,5410.697105638392,14731.0,14636.609318146831,3000.0,3032.283940232359,8599.0,8655.660586360376,9340.0,10216.777927716728,16177.0,15850.286478672177,5140.0,4577.685168158496,10227.0,9432.332375476777,19080.0,19329.844044689555,4000.0,4553.149454773404
3803-23111,3040.0,3489.1231423540994,0.0,-290.7362912868848,1040.0,778.366424244381,4848.0,5256.4001109671735,4040.0,1838.1180413093462,3966.0,4877.345673953787,5579.0,4422.703135217409,0.0,2760.123833958929,-308.0,-850.3255455939761,5540.0,5532.353185931152,770.0,793.4270264560664,2310.0,2285.50730636086,3000.0,2589.1943529054065,3350.0,3590.2785718833893,4540.0,4861.427710544883,1540.0,1071.2211380206654,1040.0,3294.298815254132,7628.0,6682.223776902984,0.0,1200.4941681272248,9500.0,6725.083108903218,0.0,542.7365530178831
3803-23115,3000.0,2975.721209222109,5143.0,5112.873516243637,3000.0,3055.0729047198747,6071.0,6215.491993104779,3918.0,3850.9012300783033,3500.0,3416.7885235382146,3500.0,3379.0651626169783,4271.0,4359.776734860796,5533.0,5570.102686703613,3000.0,3000.657182050225,2500.0,2499.408207833945,6175.0,6175.536174309713,3500.0,3523.5557858428765,3000.0,3030.745593987969,5033.0,4979.161542077385,5943.0,5797.631746368101,0.0,65.82529167913162,4000.0,4083.57085616159,3500.0,3620.7422969263425,3000.0,2913.1339425746773,4533.0,4494.367978027556
3803-2386,2115.0,2255.203808056802,7130.0,7240.229249337539,6147.0,5910.0854561330525,6017.0,4876.325615716858,4049.0,4458.467805757005,3678.0,4499.978854636167,5790.0,6749.131100548482,6074.0,5647.744014227677,1012.0,366.2902731961003,6073.0,6062.177010595382,0.0,6.096815133740165,3037.0,3024.9470221202046,0.0,-129.37540262495168,6075.0,5956.396646753907,8626.0,8865.916210991036,1012.0,2147.937335780636,5716.0,5331.590996734112,9111.0,8283.145328220151,3564.0,2616.0815542491528,5174.0,5584.040235198311,1078.0,1746.3718329703315
