,0
3811-7280,1.967_0.918
3809-1360,0.5_1.0
3841-25876,1.076_0.995
3841-24816,0.378_0.999
3841-10401,1.274_0.897
3809-25876,0.769_0.983
3809-5763,2.0_0.939
3811-31205,0.812_0.971
3809-19420,0.534_0.899
3833-24743,1.272_0.924
3841-26291,1.486_0.893
3811-18223,1.089_0.716
3809-18223,1.193_0.994
3809-23217,1.618_0.961
3811-2677,1.971_0.829
3811-21116,1.45_0.949
3809-2720,1.247_0.956
3803-30818,0.619_0.984
3803-2012,1.386_0.99
3803-25141,0.443_0.914
3803-2609,1.205_0.988
3809-10961,1.788_1.0
3841-10853,1.107_1.0
3811-23913,1.642_0.986
3809-19688,2.0_0.99
3841-24753,1.013_0.876
3803-19070,1.068_0.995
3809-20366,1.08_0.917
3809-4959,1.636_0.931
3811-7931,1.944_0.977
3811-2609,1.138_0.964
3841-8827,2.0_0.97
3811-24403,2.0_0.895
3811-26639,1.9_0.925
3833-19146,1.505_0.989
3811-26348,1.061_0.86
3833-15,0.41_1.0
3841-26676,2.0_0.97
3841-16109,1.965_0.973
3803-26292,0.935_0.945
3841-2386,1.537_0.929
3803-5495,0.687_1.0
3809-24743,0.734_0.996
3811-2508,1.333_0.864
3841-11091,1.635_0.982
3803-1135,1.484_0.957
3803-25126,1.842_0.993
3811-21117,1.59_0.993
3833-31587,1.582_0.985
3841-19537,0.739_1.0
3833-23111,1.494_0.974
3809-18749,1.793_0.993
3811-26735,1.158_0.731
3809-4500,1.208_0.905
3841-26650,1.094_0.997
3809-26676,1.501_0.901
3833-26291,2.0_0.925
3841-24048,0.84_0.984
3803-2386,1.223_0.974
3833-25876,1.147_0.954
3809-11308,0.31_1.0
3803-1445,1.105_0.784
3811-2719,0.856_0.989
3811-23845,1.622_1.0
3811-16059,1.872_1.0
3809-25140,2.0_0.875
3803-2789,1.119_0.986
3811-31080,1.647_0.957
3809-21117,1.234_0.988
3811-10023,1.242_0.951
3841-18223,2.0_0.963
3811-16896,0.435_1.0
3809-4560,1.898_0.979
3809-7053,1.639_1.0
3803-26676,1.493_0.913
3811-19070,1.004_1.0
3803-26348,1.757_0.888
3803-24755,0.975_0.971
3803-4625,0.903_0.943
3835-18272,2.0_0.903
3809-9745,0.955_0.851
3811-8567,1.185_1.0
3841-30060,0.685_1.0
3811-26638,1.166_0.975
3841-5495,1.549_0.984
3833-23913,0.692_0.999
3811-26676,0.889_0.97
3841-19539,2.0_0.934
3811-15829,1.72_0.978
3803-2285,1.162_1.0
3809-25139,0.918_0.999
3841-20938,2.0_0.971
3811-24394,1.338_0.971
3803-5675,1.306_0.933
3811-13515,1.069_0.865
3811-25002,1.038_0.941
3803-23115,1.333_0.999
3841-25144,1.182_0.998
3811-25141,1.421_0.999
3841-1036,0.832_0.993
3809-27491,1.062_0.98
3833-26638,0.801_0.992
3841-15467,1.911_0.987
3841-16503,1.292_0.871
3841-2789,0.887_0.898
3841-30408,1.549_0.977
3833-13754,1.208_0.954
3803-31719,0.707_0.999
3809-1951,0.717_0.998
3809-19071,0.903_0.994
3841-26292,0.341_1.0
3811-7222,1.246_0.904
3841-2394,1.867_0.951
3841-2093,0.437_0.996
3841-23845,1.947_0.808
3811-2308,0.861_0.824
3811-1830,0.727_0.967
3809-5289,1.731_0.957
3809-1910,2.0_0.952
3809-8925,1.41_0.956
3811-25140,1.22_0.967
3803-18111,0.323_1.0
3811-7053,0.748_0.969
3803-26638,1.076_0.696
3811-15467,2.0_0.979
3803-24178,1.374_0.901
3811-13818,1.493_0.944
3809-26181,1.39_0.966
3803-16589,1.777_0.982
3803-13515,0.134_1.0
3811-26882,0.997_0.993
3803-2394,1.112_0.853
3803-14410,1.136_0.947
3811-18802,0.955_0.992
3809-31470,1.431_0.927
3803-19547,1.095_0.938
3811-4033,1.04_1.0
3803-4343,1.254_0.982
3803-13540,1.394_0.898
3811-2313,2.0_0.954
3811-26864,1.365_0.998
3833-7053,2.0_0.706
3811-21927,0.528_0.999
3811-24785,1.158_1.0
3803-1910,1.034_0.995
3841-19070,1.077_0.881
3809-10629,1.442_0.846
3803-7930,1.363_0.939
3811-26409,1.08_0.92
3841-31264,0.938_0.927
3809-6479,2.0_0.999
3841-25881,0.328_1.0
3803-16896,1.118_0.976
