,Plant,Generic
561,3809,9723
576,3803,1506
577,3835,18468
578,3809,2134
579,3853,21844
580,3835,24798
581,3809,25006
582,3833,25069
583,3835,18273
584,3811,10227
585,3803,25006
586,3803,6661
587,3803,9507
588,3811,24391
589,3809,22415
590,3835,9037
591,3853,11058
592,3809,24391
593,3803,6697
594,3853,6697
595,3835,20289
596,3803,2384
597,3809,8803
598,3835,20291
599,3841,1506
600,3803,2277
